n,p,k,ec,oc,s,zn,fe,cu,mn,b,temperature,humidity,ph,rainfall,crop type
19.0,72.0,15.0,0.53,0.49,3.92,0.42,9.05,1.32,9.32,0.5,28.83600962,69.76112921,6.890760124,44.08562546,lentil
18.0,57.0,21.0,0.76,0.59,6.64,0.5,6.35,1.5,5.21,0.25,27.37659643,63.93927841,6.155915975,49.47371773,lentil
31.0,58.0,15.0,0.49,0.98,5.43,0.37,7.41,0.8,11.05,0.32,28.31886863,60.19461399,6.167855382,45.36521251,lentil
28.0,58.0,25.0,0.71,1.27,6.33,0.61,8.05,1.32,6.32,0.29,27.4818649,62.04814951,6.861640036,37.81123974,lentil
5.0,65.0,19.0,0.49,1.07,4.22,0.59,4.05,1.87,9.54,0.42,18.28072173,68.10365387,6.978361689,48.80253285,lentil
16.0,65.0,19.0,0.47,0.59,9.95,0.29,9.35,1.23,11.65,0.34,27.61204997,69.29786244,7.043160241,42.72374404,lentil
34.0,65.0,19.0,0.62,0.59,9.95,0.29,9.35,1.23,11.65,0.34,23.43974653,63.22011726,5.94239222,45.40277297,lentil
14.0,69.0,19.0,0.65,0.68,7.54,0.38,5.41,0.89,9.05,0.63,20.95628486,63.68128841,7.239455147,52.39881209,lentil
22.0,55.0,16.0,0.74,0.1,5.13,0.51,5.8,0.51,7.32,0.21,23.7937153,68.03209183,6.516317561,49.73922097,lentil
24.0,61.0,17.0,0.48,1.17,3.32,0.6,7.62,1.02,11.65,0.29,22.6371424,65.44544859,6.233269045,38.30411077,lentil
2.0,79.0,15.0,0.38,0.39,6.94,0.39,6.23,0.63,9.06,0.5,21.53577883,65.47227704,7.505283615,35.75107592,lentil
26.0,63.0,17.0,0.62,0.59,5.43,0.44,4.12,1.32,11.41,0.34,29.87854588,65.73085206,6.950300686,44.95654782,lentil
27.0,61.0,15.0,0.73,0.29,4.22,0.29,3.25,2.1,6.5,0.23,25.2653291,67.10004577,6.958054839,48.33941188,lentil
24.0,70.0,16.0,0.36,0.78,6.64,0.37,5.21,0.86,13.05,0.48,25.17885316,68.93307305,6.54803469,35.03484812,lentil
13.0,74.0,25.0,0.64,0.1,3.92,0.41,7.15,0.75,6.03,0.36,24.12192608,61.09533545,6.461618577,44.23629285,lentil
6.0,64.0,23.0,0.6,0.59,8.75,0.59,3.52,1.09,12.05,0.42,23.33565221,67.40460704,7.065264073,36.18678721,lentil
12.0,58.0,23.0,0.37,0.2,4.22,0.36,8.02,1.33,9.21,0.34,21.74600081,63.39503184,6.765091462,50.43306085,lentil
32.0,79.0,22.0,0.63,1.17,6.94,0.51,9.06,0.45,4.51,0.63,27.60195453,63.46170674,5.91645379,54.37814199,lentil
6.0,68.0,18.0,0.51,0.88,5.13,0.29,4.85,0.78,9.32,0.27,24.388717,62.50453062,6.711341147,47.26052494,lentil
10.0,79.0,20.0,0.82,0.1,5.73,0.48,3.06,0.61,10.58,0.5,24.98287462,66.895409,6.379881442,38.21370568,lentil
38.0,77.0,22.0,0.58,0.29,6.33,0.63,8.35,1.53,13.02,0.34,28.234829,69.3159965,6.313284268,35.36831423,lentil
17.0,74.0,17.0,0.47,0.68,10.86,0.44,4.6,1.96,6.57,0.55,26.03026959,69.55863145,7.393210848,37.11395801,lentil
26.0,68.0,24.0,0.49,0.1,7.24,0.5,6.32,1.55,9.03,0.21,28.04849594,64.07691942,7.504930973,37.15824966,lentil
23.0,75.0,17.0,0.66,0.2,5.43,0.68,4.88,0.52,8.51,0.25,24.87425505,64.00213929,7.198076286,48.28137482,lentil
32.0,78.0,22.0,0.88,0.98,6.94,0.54,7.15,0.39,10.59,0.34,23.97081395,62.35557553,7.007037515,53.40906048,lentil
19.0,79.0,19.0,0.39,1.07,5.43,0.39,6.23,0.47,2.69,0.5,20.06003985,67.76252583,6.677262562,42.89509057,lentil
22.0,60.0,18.0,0.42,0.88,6.33,0.75,4.96,1.08,12.03,0.59,19.59221047,61.28633405,6.74398035,41.7704893,lentil
28.0,69.0,16.0,0.37,0.39,5.13,0.36,5.51,1.55,9.65,0.27,29.77013109,66.29327012,6.547361618,35.69674138,lentil
1.0,67.0,21.0,0.32,0.68,8.75,0.42,9.23,2.04,14.52,0.55,27.52135365,60.53657684,6.551577598,48.06491307,lentil
12.0,67.0,23.0,0.77,0.98,9.65,0.66,4.53,0.96,10.63,0.5,25.62896213,63.14909763,6.585020303,45.49683991,lentil
36.0,67.0,20.0,0.4,0.1,4.22,0.51,9.03,0.54,6.58,0.67,20.39078312,60.47528931,6.924042372,53.31508572,lentil
28.0,70.0,21.0,0.61,0.29,7.54,0.27,4.59,1.05,4.51,0.32,25.39038396,60.4989659,7.437373666,39.18374505,lentil
12.0,71.0,19.0,0.69,0.98,3.92,0.48,7.63,1.78,9.3,0.55,24.91079638,60.71367427,7.142611056,42.19740397,lentil
22.0,68.0,16.0,0.48,1.27,5.43,0.29,3.56,0.63,11.56,0.42,27.70496805,63.20915034,7.74672376,37.46160727,lentil
26.0,66.0,22.0,0.38,0.1,6.33,0.35,8.54,1.02,9.64,0.65,18.06486101,65.1034354,6.300479414,51.54922825,lentil
16.0,65.0,16.0,0.43,0.68,5.13,0.17,6.11,0.88,3.74,0.21,18.13027797,62.45851612,6.078724107,50.6128521,lentil
14.0,59.0,22.0,0.51,0.49,3.92,0.26,3.05,1.03,9.05,0.34,23.82723528,67.89815262,6.76660668,46.90725077,lentil
33.0,59.0,19.0,0.32,0.88,5.13,0.33,7.96,1.65,12.47,0.44,23.19305333,62.74710773,7.641024177,49.55213308,lentil
21.0,63.0,17.0,0.71,0.39,8.75,0.21,8.63,2.01,8.63,0.32,25.08966129,68.17543102,6.559681838,41.45486619,lentil
0.0,69.0,21.0,0.51,0.29,7.24,0.36,4.69,0.69,11.03,0.69,25.86928193,61.88321072,7.072923306,36.68284038,lentil
10.0,75.0,17.0,0.47,0.1,3.92,0.35,8.26,0.45,7.98,0.4,18.43966037,68.05394959,7.732194788,39.00992137,lentil
30.0,61.0,18.0,0.62,0.49,6.64,0.42,3.57,0.63,6.48,0.32,27.14911056,67.02664337,6.157782589,52.50812701,lentil
0.0,74.0,17.0,0.65,1.07,5.43,0.58,4.58,1.02,13.25,0.53,23.33375853,64.50515776,7.240988401,47.01510708,lentil
35.0,74.0,22.0,0.74,0.88,10.56,0.45,7.36,1.87,10.63,0.63,26.7230014,62.96841833,6.898905799,42.87274897,lentil
7.0,63.0,24.0,0.4960000000000001,0.45,4.644,0.42799999999999994,6.720000000000001,1.306,11.010000000000002,0.42200000000000004,19.55750776,64.45268309,6.818681086,53.04669416,lentil
9.0,56.0,17.0,0.592,0.41200000000000003,4.886,0.39399999999999996,6.914,1.4760000000000002,9.952000000000002,0.396,26.13708256,66.7729209,6.261937875,46.48280681,lentil
14.0,74.0,15.0,0.5820000000000001,0.392,5.186,0.518,6.566000000000001,0.866,7.9300000000000015,0.44400000000000006,27.99990346,65.57653373,6.493036868,49.94043064,lentil
14.0,76.0,20.0,0.6199999999999999,0.6260000000000001,5.9719999999999995,0.41999999999999993,5.199999999999999,1.146,8.808000000000002,0.476,29.05941162,62.10652364,7.042474679,36.5011366,lentil
36.0,65.0,16.0,0.43800000000000006,0.608,6.694,0.42000000000000004,8.052000000000001,1.054,9.974,0.42400000000000004,25.71269843,64.1123333,7.692013657,50.17067771,lentil
28.0,67.0,21.0,0.5519999999999999,0.352,6.5120000000000005,0.306,6.75,1.472,8.931999999999999,0.38,21.79792649,63.73086065,6.250994223,46.62370222,lentil
28.0,79.0,16.0,0.606,0.588,5.912,0.48600000000000004,6.723999999999999,0.958,8.2,0.37,24.70626432,60.26854183,6.052184881,53.12442925,lentil
40.0,61.0,22.0,0.52,0.6859999999999999,7.117999999999999,0.42600000000000005,6.5840000000000005,0.944,12.006,0.392,20.94981756,65.8108757,7.002216044,44.23913012,lentil
10.0,70.0,19.0,0.5119999999999999,0.53,5.4879999999999995,0.42000000000000004,8.292,0.966,8.838000000000003,0.42600000000000005,24.84918386,68.98088448,7.272427638,41.61080544,lentil
12.0,80.0,19.0,0.536,0.6040000000000001,6.214,0.41200000000000003,5.422000000000001,1.0999999999999999,6.204000000000001,0.4960000000000001,21.91041045,65.21662467,5.962001484,36.10211371,lentil
37.0,77.0,20.0,0.6299999999999999,0.9579999999999999,7.964,0.442,7.066,1.1320000000000001,8.678,0.518,25.93381964,68.70533022,7.080506001,51.02372773,lentil
0.0,67.0,22.0,0.5980000000000001,0.566,5.67,0.396,7.822,1.5799999999999998,10.254000000000001,0.538,29.82112112,69.4073209,6.593798387,51.56461082,lentil
7.0,73.0,25.0,0.622,0.706,5.126,0.46799999999999997,6.846000000000001,1.044,8.862,0.396,27.52185591,63.13215259,7.28805662,45.20841071,lentil
10.0,56.0,18.0,0.592,0.41200000000000003,4.886,0.39399999999999996,6.9140000000000015,1.476,9.952000000000002,0.396,27.99627907,68.6428593,7.32710972,46.10585191,lentil
39.0,70.0,15.0,0.4600000000000001,0.646,6.9959999999999996,0.462,8.129999999999999,0.86,9.41,0.43600000000000005,20.76774783,63.90164154,6.366355781,47.9271552,lentil
26.0,56.0,22.0,0.574,0.6839999999999999,6.698,0.398,6.109999999999999,1.31,11.478,0.40199999999999997,23.05276444,60.424786,7.011121216,52.60285259,lentil
9.0,77.0,17.0,0.5780000000000001,0.528,5.128,0.42000000000000004,6.0280000000000005,1.0959999999999999,8.024000000000001,0.4960000000000001,21.65845777,63.58337146,6.280725549,38.07659414,lentil
4.0,59.0,19.0,0.624,0.47000000000000003,6.938,0.4779999999999999,5.956,1.3900000000000001,11.14,0.496,26.25070298,67.62779652,7.621494566,40.8106299,lentil
34.0,73.0,15.0,0.544,0.6659999999999999,6.514,0.46799999999999997,8.133999999999999,0.932,8.431999999999999,0.492,20.97195263,63.83179889,7.630424083,53.10207889,lentil
33.0,77.0,15.0,0.5700000000000001,0.6839999999999999,8.024000000000001,0.46799999999999997,7.438,1.086,8.554,0.43600000000000005,23.89736406,66.32102048,7.802212437,40.74536757,lentil
2.0,24.0,38.0,0.548,0.5279999999999999,5.369999999999999,0.306,4.4799999999999995,0.8799999999999999,8.61,0.358,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6.0,18.0,37.0,0.958,0.45400000000000007,8.917536000000002,6.973999999999999,11.168000000000001,5.054,38.238,4.872,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8.0,26.0,36.0,0.5439999999999999,0.45400000000000007,9.926,0.27999999999999997,3.6719999999999997,0.704,7.378,0.372,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37.0,18.0,39.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0.0,27.0,38.0,0.548,0.528,5.369999999999999,0.30599999999999994,4.4799999999999995,0.8799999999999999,8.61,0.358,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
31.0,25.0,38.0,1.278,0.6799999999999999,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate
21.0,21.0,38.0,1.23,0.644,3.3536919999999997,15.15,19.146,9.152,76.55,8.062000000000001,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
6.0,30.0,40.0,0.9400000000000002,0.454,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
25.0,27.0,41.0,1.278,0.78,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate
15.0,11.0,38.0,0.9719999999999999,0.492,8.977536,6.954000000000001,11.099999999999998,5.279999999999999,37.623999999999995,4.804,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
14.0,5.0,36.0,0.9940000000000001,0.55,8.977536,6.9719999999999995,11.138000000000002,5.136,38.632000000000005,4.8340000000000005,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16.0,10.0,41.0,0.9720000000000001,0.492,8.977536,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36.0,7.0,37.0,1.242,0.462,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4.0,20.0,41.0,0.9580000000000002,0.55,8.917536000000002,6.973999999999999,11.168,5.054,38.238,4.872,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
29.0,22.0,40.0,1.278,0.7379999999999999,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
16.0,15.0,42.0,1.2120000000000002,0.492,3.535692,15.126,18.596,9.004000000000001,77.338,8.042,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
18.0,27.0,41.0,1.23,0.4920000000000001,3.353692,15.15,19.146,9.152,76.55,8.062000000000001,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
11.0,18.0,42.0,0.9760000000000002,0.434,9.279536,6.978,11.575999999999999,5.1979999999999995,37.629999999999995,4.858,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
5.0,15.0,38.0,0.958,0.45400000000000007,8.917536,6.973999999999999,11.168000000000001,5.054,38.238,4.872,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
18.0,23.0,44.0,1.252,0.4920000000000001,3.051692,15.128,18.398000000000003,9.006,77.182,8.068000000000001,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
9.0,8.0,40.0,0.9540000000000001,0.492,8.615536,6.95,10.692,5.136,38.23199999999999,4.818,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
40.0,27.0,45.0,1.232,0.5940000000000001,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate
22.0,23.0,44.0,1.1940000000000002,0.644,2.8696919999999997,15.144,19.166,9.106,77.53,8.13,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate
9.0,16.0,39.0,0.9760000000000002,0.55,9.279536,6.978,11.575999999999999,5.1979999999999995,37.629999999999995,4.858,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
12.0,29.0,40.0,0.924,0.704,5.387536,7.098000000000001,13.163999999999998,5.53,39.156,4.8100000000000005,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
0.0,17.0,42.0,0.958,0.45400000000000007,8.917536000000002,6.973999999999999,11.168000000000001,5.054,38.238,4.872,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate
2.0,21.0,44.0,0.958,0.506,8.917536000000002,6.973999999999999,11.168000000000001,5.054,38.238,4.872,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
28.0,6.0,40.0,1.272,0.586,3.7676920000000003,15.218,18.712,8.914,77.814,8.120000000000001,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
8.0,23.0,44.0,0.9400000000000001,0.454,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
29.0,16.0,36.0,1.238,0.586,3.293692,15.193999999999999,19.009999999999998,9.072,77.34599999999999,8.126000000000001,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
17.0,18.0,43.0,0.9719999999999999,0.438,8.977536,6.954000000000001,11.099999999999998,5.279999999999999,37.623999999999995,4.804,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
34.0,21.0,42.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,18.75927679,89.93457597,6.648687274,111.0196744,pomegranate
21.0,23.0,42.0,1.23,0.644,3.353692,15.15,19.146,9.152,76.55,8.062000000000001,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
25.0,17.0,40.0,1.278,0.6799999999999999,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate
8.0,25.0,36.0,0.9359999999999999,0.434,8.917536,6.956,11.129999999999999,5.1979999999999995,37.23,4.8420000000000005,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
26.0,18.0,42.0,1.278,0.64,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate
4.0,19.0,42.0,0.9400000000000001,0.528,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
36.0,24.0,41.0,1.232,0.504,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
5.0,24.0,40.0,0.9359999999999999,0.454,8.917536,6.956,11.129999999999999,5.1979999999999995,37.23,4.8420000000000005,24.692258,93.87030088,6.297907579,104.6735454,pomegranate
19.0,17.0,39.0,1.252,0.704,3.051692,15.128,18.398,9.006000000000002,77.18199999999999,8.068000000000001,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
39.0,30.0,38.0,1.232,0.5940000000000001,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,20.12644921,87.59629625,6.965156738,108.065579,pomegranate
5.0,29.0,44.0,0.9359999999999999,0.38999999999999996,8.917536,6.956,11.129999999999999,5.1979999999999995,37.23,4.8420000000000005,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
4.0,24.0,43.0,0.9400000000000001,0.528,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
38.0,21.0,35.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
37.0,11.0,36.0,1.242,0.48200000000000004,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
9.0,25.0,41.0,0.9400000000000002,0.454,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,24.81530144,91.90842992,5.972714857,109.2853418,pomegranate
29.0,22.0,43.0,1.232,0.738,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate
5.0,21.0,38.0,0.9920000000000002,0.626,5.145536,7.030000000000001,11.961999999999998,5.5200000000000005,39.402,4.812,22.43377991,90.3396556,6.107054808,112.459697,pomegranate
22.0,26.0,38.0,1.1940000000000002,0.86,2.8696919999999997,15.144,19.165999999999997,9.106000000000002,77.53,8.13,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
4.0,18.0,37.0,0.5439999999999999,0.454,9.926,0.28,3.6719999999999997,0.704,7.378,0.372,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
21.0,6.0,41.0,1.2120000000000002,0.438,3.535692,15.126,18.596,9.004000000000001,77.338,8.042,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
29.0,21.0,45.0,1.238,0.64,3.293692,15.193999999999999,19.009999999999998,9.072,77.34599999999999,8.126000000000001,23.40981539,93.13277,6.749260456,105.2240743,pomegranate
23.0,5.0,44.0,1.226,0.438,7.9096920000000015,15.124,18.338,8.976,75.318,8.076,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
13.0,7.0,43.0,0.9720000000000001,0.434,8.977536,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,18.20230419,91.12282162,7.013481515,109.6623974,pomegranate
5.0,13.0,37.0,0.584,0.55,10.288,0.30199999999999994,4.118,0.704,7.7780000000000005,0.388,22.34375696,89.7870345,5.648243649,103.3183074,pomegranate
27.0,24.0,41.0,1.278,0.82,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
7.0,23.0,35.0,0.584,0.55,10.288,0.30199999999999994,4.118,0.704,7.7780000000000005,0.388,19.75088482,88.71691157,7.054313823,102.5538035,pomegranate
12.0,20.0,39.0,0.9920000000000002,0.626,5.145536,7.030000000000001,11.961999999999998,5.5200000000000005,39.402,4.812,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
4.0,19.0,43.0,0.958,0.45400000000000007,8.917536,6.973999999999999,11.168,5.054,38.238,4.872,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate
3.0,9.0,45.0,0.9580000000000002,0.55,8.917536000000002,6.973999999999999,11.168,5.054,38.23800000000001,4.872,23.89162561,89.61850203,6.535244251,104.617522,pomegranate
1.0,27.0,36.0,0.6439999999999999,0.506,10.22,0.3,3.13,0.548,7.38,0.484,23.98598756,93.34236582,5.684995235,104.991282,pomegranate
23.0,30.0,44.0,1.1940000000000002,0.704,2.8696919999999997,15.144,19.166,9.106,77.53,8.13,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
24.0,21.0,42.0,1.278,0.82,2.8096919999999996,15.196000000000002,18.812,9.074,77.19,8.152000000000001,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
13.0,30.0,37.0,0.9400000000000002,0.6060000000000001,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
40.0,11.0,44.0,1.242,0.43800000000000006,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate
21.0,9.0,40.0,1.2120000000000002,0.438,3.535692,15.126,18.596,9.004000000000001,77.338,8.042,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
3.0,27.0,44.0,0.9400000000000002,0.626,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.461999999999996,4.828000000000001,24.56811204,92.03009222,6.591302797,110.9633894,pomegranate
40.0,29.0,42.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate
14.0,25.0,40.0,0.9720000000000001,0.492,8.977535999999999,6.954000000000001,11.099999999999998,5.279999999999999,37.623999999999995,4.804,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate
38.0,14.0,37.0,1.272,0.5780000000000001,3.7676920000000003,15.218,18.712,8.914,77.814,8.120000000000001,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
34.0,9.0,36.0,1.242,0.48200000000000004,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
32.0,14.0,37.0,1.232,0.554,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
18.0,21.0,35.0,1.23,0.5860000000000001,3.353692,15.15,19.145999999999997,9.152000000000001,76.54999999999998,8.062000000000001,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate
8.0,23.0,38.0,0.882,0.454,4.483535999999999,6.976000000000001,11.728,5.228,39.226,4.816000000000001,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate
15.0,6.0,41.0,0.9720000000000001,0.492,8.977536,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,19.0087067,88.83768149,6.897368477,108.6793978,pomegranate
0.0,5.0,36.0,0.584,0.55,10.288,0.30200000000000005,4.118,0.704,7.7780000000000005,0.388,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
22.0,9.0,44.0,1.232,0.64,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
14.0,8.0,43.0,1.226,0.492,7.9096920000000015,15.124,18.338,8.976,75.318,8.076,21.92513945,94.46485312,7.051654924,111.7162016,pomegranate
31.0,11.0,45.0,1.232,0.554,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
39.0,17.0,45.0,1.242,0.41800000000000004,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,18.09691127,90.42177379,6.924490731,104.88189,pomegranate
10.0,5.0,42.0,0.9720000000000001,0.492,8.977536,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
8.0,28.0,38.0,1.012,0.45400000000000007,8.493535999999999,6.956,10.901999999999997,5.282,37.467999999999996,4.83,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
32.0,13.0,42.0,1.232,0.554,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,23.50128217,92.97527546,5.786058032,106.61905,pomegranate
18.0,9.0,40.0,0.9720000000000001,0.438,8.977536,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,19.44623085,89.02127045,5.627186257,106.1606833,pomegranate
20.0,27.0,41.0,1.184,0.86,3.293692,15.196000000000002,19.6,9.016,76.936,8.066,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
39.0,25.0,36.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate
20.0,7.0,45.0,1.2120000000000002,0.562,3.535692,15.126,18.596,9.004000000000001,77.338,8.042,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate
11.0,10.0,45.0,0.9720000000000001,0.492,8.977535999999999,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate
40.0,18.0,43.0,1.242,0.5940000000000001,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,19.38603815,86.79058496,5.767372539,109.9130984,pomegranate
3.0,26.0,39.0,0.6439999999999999,0.506,10.22,0.3,3.13,0.548,7.38,0.484,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
9.0,16.0,36.0,0.9720000000000001,0.434,8.977535999999999,6.954000000000001,11.1,5.279999999999999,37.623999999999995,4.804,23.77989026,92.93386903,5.893332378,106.977723,pomegranate
30.0,20.0,38.0,1.232,0.5740000000000001,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
40.0,9.0,41.0,1.242,0.462,4.159692,15.220000000000002,18.11,8.818000000000001,78.096,8.09,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
40.0,30.0,35.0,1.232,0.544,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate
32.0,25.0,35.0,1.232,0.738,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
33.0,23.0,45.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
4.0,14.0,41.0,0.584,0.55,10.288,0.30199999999999994,4.118,0.704,7.7780000000000005,0.388,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate
13.0,17.0,45.0,0.9719999999999999,0.434,8.977535999999999,6.954000000000001,11.099999999999998,5.279999999999999,37.623999999999995,4.804,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate
39.0,24.0,39.0,1.232,0.594,3.4056919999999997,15.196000000000002,18.266,8.914,77.414,8.104000000000001,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
8.0,28.0,37.0,0.9400000000000001,0.528,4.361535999999999,6.982000000000001,11.937999999999999,5.3740000000000006,38.462,4.828,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
